indicator_id,database,total_count,missing_count,missing_percentage,indicator_label
DT.NFL.UNWT.CD,wdi,6384,6261,98.07,"Net official flows from UN agencies, UNWTO (current US$)"
SL.TLF.0714.WK.TM,wdi,6384,6260,98.06,"Average working hours of children, working only, ages 7-14 (hours per week)"
SL.TLF.0714.WK.MA.TM,wdi,6384,6260,98.06,"Average working hours of children, working only, male, ages 7-14 (hours per week)"
SI.SPR.PCAP.ZG,wdi,6384,6259,98.04,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
SI.SPR.PC40.ZG,wdi,6384,6259,98.04,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
DT.NFL.UNEP.CD,wdi,6384,6258,98.03,"Net official flows from UN agencies, UNEP (current US$)"
SL.TLF.0714.SW.TM,wdi,6384,6253,97.95,"Average working hours of children, study and work, ages 7-14 (hours per week)"
SL.TLF.0714.SW.FE.TM,wdi,6384,6253,97.95,"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
SL.TLF.0714.SW.MA.TM,wdi,6384,6253,97.95,"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
SL.MNF.0714.ZS,wdi,6384,6251,97.92,Child employment in manufacturing (% of economically active children ages 7-14)
SL.SRV.0714.ZS,wdi,6384,6250,97.9,Child employment in services (% of economically active children ages 7-14)
SL.AGR.0714.ZS,wdi,6384,6250,97.9,Child employment in agriculture (% of economically active children ages 7-14)
SL.MNF.0714.FE.ZS,wdi,6384,6244,97.81,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
SL.MNF.0714.MA.ZS,wdi,6384,6244,97.81,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
SL.SRV.0714.MA.ZS,wdi,6384,6243,97.79,"Child employment in services, male (% of male economically active children ages 7-14)"
SL.AGR.0714.MA.ZS,wdi,6384,6243,97.79,"Child employment in agriculture, male (% of male economically active children ages 7-14)"
SL.SRV.0714.FE.ZS,wdi,6384,6243,97.79,"Child employment in services, female (% of female economically active children ages 7-14)"
SL.AGR.0714.FE.ZS,wdi,6384,6243,97.79,"Child employment in agriculture, female (% of female economically active children ages 7-14)"
SH.CON.1524.FE.ZS,wdi,6384,6238,97.71,"Condom use, population ages 15-24, female (% of females ages 15-24)"
IE.PPI.ICTI.CD,wdi,6384,6233,97.63,Investment in ICT with private participation (current US$)
SL.WAG.0714.ZS,wdi,6384,6226,97.53,"Children in employment, wage workers (% of children in employment, ages 7-14)"
SL.WAG.0714.FE.ZS,wdi,6384,6226,97.53,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
SL.WAG.0714.MA.ZS,wdi,6384,6226,97.53,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
DT.NFL.UNCV.CD,wdi,6384,6224,97.49,"Net official flows from UN agencies, UNCOVID (current US$)"
SL.FAM.0714.ZS,wdi,6384,6224,97.49,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
SL.FAM.0714.FE.ZS,wdi,6384,6224,97.49,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
SL.FAM.0714.MA.ZS,wdi,6384,6224,97.49,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
EN.CLC.MDAT.ZS,wdi,6384,6216,97.37,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
SL.TLF.0714.WK.MA.ZS,wdi,6384,6214,97.34,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
SL.TLF.0714.WK.FE.ZS,wdi,6384,6214,97.34,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
SL.TLF.0714.SW.FE.ZS,wdi,6384,6214,97.34,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
SL.TLF.0714.SW.MA.ZS,wdi,6384,6214,97.34,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
SG.VAW.BURN.ZS,wdi,6384,6211,97.29,Women who believe a husband is justified in beating his wife when she burns the food (%)
SH.MED.CMHW.P3,wdi,6384,6210,97.27,"Community health workers (per 1,000 people)"
SG.VAW.REFU.ZS,wdi,6384,6210,97.27,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
SG.VAW.ARGU.ZS,wdi,6384,6209,97.26,Women who believe a husband is justified in beating his wife when she argues with him (%)
SG.VAW.GOES.ZS,wdi,6384,6208,97.24,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
SG.VAW.REAS.ZS,wdi,6384,6206,97.21,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
SG.VAW.NEGL.ZS,wdi,6384,6206,97.21,Women who believe a husband is justified in beating his wife when she neglects the children (%)
SG.DMK.ALLD.FN.ZS,wdi,6384,6204,97.18,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
SH.SGR.PROC.P5,wdi,6384,6203,97.16,"Number of surgical procedures (per 100,000 population)"
DT.NFL.UNIDO.CD,wdi,6384,6202,97.15,"Net official flows from UN agencies, UNIDO (current US$)"
SG.TIM.UWRK.FE,wdi,6384,6199,97.1,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
SG.TIM.UWRK.MA,wdi,6384,6199,97.1,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
IC.BUS.EASE.XQ,wdi,6384,6195,97.04,Ease of doing business rank (1=most business-friendly regulations)
SH.FPL.SATM.ZS,wdi,6384,6176,96.74,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
DT.NFL.WITC.CD,wdi,6384,6157,96.44,"Net official flows from UN agencies, WTO-ITC (current US$)"
SP.DYN.WFRT,wdi,6384,6157,96.44,Wanted fertility rate (births per woman)
per_lm_alllm.cov_q1_tot,wdi,6384,6154,96.4,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
per_lm_alllm.cov_q2_tot,wdi,6384,6154,96.4,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
per_lm_alllm.cov_pop_tot,wdi,6384,6153,96.38,Coverage of unemployment benefits and ALMP (% of population)
SH.STA.WASH.P5,wdi,6384,6153,96.38,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
per_lm_alllm.cov_q3_tot,wdi,6384,6153,96.38,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
SH.STA.AIRP.P5,wdi,6384,6153,96.38,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
per_lm_alllm.cov_q5_tot,wdi,6384,6153,96.38,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
per_lm_alllm.cov_q4_tot,wdi,6384,6153,96.38,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
SH.STA.AIRP.FE.P5,wdi,6384,6153,96.38,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
SH.STA.AIRP.MA.P5,wdi,6384,6153,96.38,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
DT.NFL.UNWN.CD,wdi,6384,6146,96.27,"Net official flows from UN agencies, UNWOMEN (current US$)"
DT.NFL.SDGF.CD,wdi,6384,6138,96.15,"Net official flows from UN agencies, SDGFUND (current US$)"
SI.SPR.PC40,wdi,6384,6134,96.08,"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)"
SI.SPR.PCAP,wdi,6384,6134,96.08,"Survey mean consumption or income per capita, total population (2017 PPP $ per day)"
SP.HOU.FEMA.ZS,wdi,6384,6131,96.04,Female headed households (% of households with a female head)
SP.REG.BRTH.FE.ZS,wdi,6384,6126,95.96,"Completeness of birth registration, female (%)"
SP.REG.BRTH.MA.ZS,wdi,6384,6126,95.96,"Completeness of birth registration, male (%)"
EN.FSH.THRD.NO,wdi,6384,6121,95.88,"Fish species, threatened"
EN.HPT.THRD.NO,wdi,6384,6121,95.88,"Plant species (higher), threatened"
EN.MAM.THRD.NO,wdi,6384,6121,95.88,"Mammal species, threatened"
EN.BIR.THRD.NO,wdi,6384,6121,95.88,"Bird species, threatened"
SL.TLF.0714.SW.ZS,wdi,6384,6117,95.82,"Children in employment, study and work (% of children in employment, ages 7-14)"
SL.TLF.0714.ZS,wdi,6384,6117,95.82,"Children in employment, total (% of children ages 7-14)"
SL.TLF.0714.FE.ZS,wdi,6384,6117,95.82,"Children in employment, female (% of female children ages 7-14)"
SL.TLF.0714.MA.ZS,wdi,6384,6117,95.82,"Children in employment, male (% of male children ages 7-14)"
SL.TLF.0714.WK.ZS,wdi,6384,6116,95.8,"Children in employment, work only (% of children in employment, ages 7-14)"
SP.MTR.1519.ZS,wdi,6384,6115,95.79,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
SE.LPV.PRIM.SD.MA,wdi,6384,6106,95.65,Male primary school age children out-of-school (%)
SE.LPV.PRIM.LD.MA,wdi,6384,6106,95.65,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
SE.LPV.PRIM.SD.FE,wdi,6384,6106,95.65,Female primary school age children out-of-school (%)
SE.LPV.PRIM.FE,wdi,6384,6106,95.65,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
SE.LPV.PRIM.LD.FE,wdi,6384,6106,95.65,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
SE.LPV.PRIM.MA,wdi,6384,6106,95.65,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
DT.NFL.SPRP.CD,wdi,6384,6092,95.43,"Net official flows from UN agencies, SPRP (current US$)"
SH.MLR.NETS.ZS,wdi,6384,6083,95.29,Use of insecticide-treated bed nets (% of under-5 population)
IE.PPI.WATR.CD,wdi,6384,6083,95.29,Investment in water and sanitation with private participation (current US$)
IE.PPN.WATR.CD,wdi,6384,6077,95.19,Public private partnerships investment in water and sanitation (current US$)
SP.M15.2024.FE.ZS,wdi,6384,6076,95.18,Women who were first married by age 15 (% of women ages 20-24)
IC.FRM.RSDV.ZS,wdi,6384,6074,95.14,Firms that spend on R&D (% of firms)
SP.M18.2024.FE.ZS,wdi,6384,6073,95.13,Women who were first married by age 18 (% of women ages 20-24)
IC.FRM.OUTG.ZS,wdi,6384,6071,95.1,Value lost due to electrical outages (% of sales for affected firms)
IC.ELC.OUTG.ZS,wdi,6384,6070,95.08,Firms experiencing electrical outages (% of firms)
SH.MLR.TRET.ZS,wdi,6384,6069,95.07,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
DT.NFL.UNEC.CD,wdi,6384,6062,94.96,"Net official flows from UN agencies, UNECE (current US$)"
IC.ELC.OUTG,wdi,6384,6060,94.92,Power outages in firms in a typical month (number)
SH.MED.SAOP.P5,wdi,6384,6041,94.63,"Specialist surgical workforce (per 100,000 population)"
IC.FRM.CRIM.ZS,wdi,6384,6032,94.49,Losses due to theft and vandalism (% of annual sales of affected firms)
SI.RMT.COST.OB.ZS,wdi,6384,6031,94.47,Average transaction cost of sending remittances from a specific country (%)
IC.FRM.FEMM.ZS,wdi,6384,6029,94.44,Firms with female top manager (% of firms)
SE.LPV.PRIM,wdi,6384,6027,94.41,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
IC.FRM.THEV.ZS,wdi,6384,6027,94.41,Firms experiencing losses due to theft and vandalism (% of firms)
SE.LPV.PRIM.LD,wdi,6384,6027,94.41,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
SE.LPV.PRIM.SD,wdi,6384,6027,94.41,Primary school age children out-of-school (%)
DT.ODA.OATL.KD,wdi,6384,6025,94.38,Net official aid received (constant 2021 US$)
DT.ODA.OATL.CD,wdi,6384,6025,94.38,Net official aid received (current US$)
SP.REG.BRTH.RU.ZS,wdi,6384,6022,94.33,"Completeness of birth registration, rural (%)"
SP.REG.BRTH.UR.ZS,wdi,6384,6022,94.33,"Completeness of birth registration, urban (%)"
IC.ELC.DURS,wdi,6384,5997,93.94,Time to obtain an electrical connection (days)
IC.FRM.FREG.ZS,wdi,6384,5992,93.86,Firms formally registered when operations started (% of firms)
SN.ITK.SALT.ZS,wdi,6384,5981,93.69,Consumption of iodized salt (% of households)
IC.TAX.METG,wdi,6384,5981,93.69,Number of visits or required meetings with tax officials (average for affected firms)
IC.FRM.METG.ZS,wdi,6384,5980,93.67,Firms visited or required meetings with tax officials (% of firms)
IC.FRM.INFM.ZS,wdi,6384,5976,93.61,Firms that do not report all sales for tax purposes (% of firms)
IC.FRM.CMPU.ZS,wdi,6384,5976,93.61,Firms competing against unregistered firms (% of firms)
IC.FRM.DURS,wdi,6384,5973,93.56,Time required to obtain an operating license (days)
IC.FRM.BRIB.ZS,wdi,6384,5966,93.45,Bribery incidence (% of firms experiencing at least one bribe payment request)
per_sa_allsa.adq_pop_tot,wdi,6384,5953,93.25,Adequacy of social safety net programs (% of total welfare of beneficiary households)
per_sa_allsa.ben_q1_tot,wdi,6384,5952,93.23,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
SH.STA.ORCF.ZS,wdi,6384,5951,93.22,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
per_si_allsi.adq_pop_tot,wdi,6384,5951,93.22,Adequacy of social insurance programs (% of total welfare of beneficiary households)
per_si_allsi.ben_q1_tot,wdi,6384,5950,93.2,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
SH.STA.ARIC.ZS,wdi,6384,5944,93.11,ARI treatment (% of children under 5 taken to a health provider)
EN.CLC.GHGR.MT.CE,wdi,6384,5936,92.98,GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
IC.CUS.DURS.EX,wdi,6384,5934,92.95,Average time to clear exports through customs (days)
IC.FRM.FEMO.ZS,wdi,6384,5931,92.9,Firms with female participation in ownership (% of firms)
per_si_allsi.cov_q3_tot,wdi,6384,5930,92.89,Coverage of social insurance programs in 3rd quintile (% of population)
per_si_allsi.cov_q1_tot,wdi,6384,5930,92.89,Coverage of social insurance programs in poorest quintile (% of population)
per_si_allsi.cov_q5_tot,wdi,6384,5930,92.89,Coverage of social insurance programs in richest quintile (% of population)
per_si_allsi.cov_q4_tot,wdi,6384,5930,92.89,Coverage of social insurance programs in 4th quintile (% of population)
per_si_allsi.cov_pop_tot,wdi,6384,5930,92.89,Coverage of social insurance programs (% of population)
per_si_allsi.cov_q2_tot,wdi,6384,5930,92.89,Coverage of social insurance programs in 2nd quintile (% of population)
FP.WPI.TOTL,wdi,6384,5926,92.83,Wholesale price index (2010 = 100)
IC.FRM.BKWC.ZS,wdi,6384,5923,92.78,Firms using banks to finance working capital (% of firms)
SP.REG.DTHS.ZS,wdi,6384,5921,92.75,Completeness of death registration with cause-of-death information (%)
SH.STA.ORTH,wdi,6384,5918,92.7,Diarrhea treatment (% of children under 5 who received ORS packet)
DT.NFL.CERF.CD,wdi,6384,5907,92.53,"Net official flows from UN agencies, CERF (current US$)"
per_allsp.adq_pop_tot,wdi,6384,5903,92.47,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
per_allsp.ben_q1_tot,wdi,6384,5902,92.45,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
IC.FRM.CORR.ZS,wdi,6384,5901,92.43,Informal payments to public officials (% of firms)
IC.TAX.GIFT.ZS,wdi,6384,5899,92.4,Firms expected to give gifts in meetings with tax officials (% of firms)
IC.FRM.TRNG.ZS,wdi,6384,5898,92.39,Firms offering formal training (% of firms)
IC.GOV.DURS.ZS,wdi,6384,5897,92.37,Time spent dealing with the requirements of government regulations (% of senior management time)
per_sa_allsa.cov_pop_tot,wdi,6384,5895,92.34,Coverage of social safety net programs (% of population)
per_sa_allsa.cov_q2_tot,wdi,6384,5895,92.34,Coverage of social safety net programs in 2nd quintile (% of population)
IC.FRM.BNKS.ZS,wdi,6384,5895,92.34,Firms using banks to finance investment (% of firms)
per_sa_allsa.cov_q4_tot,wdi,6384,5895,92.34,Coverage of social safety net programs in 4th quintile (% of population)
per_sa_allsa.cov_q5_tot,wdi,6384,5895,92.34,Coverage of social safety net programs in richest quintile (% of population)
per_sa_allsa.cov_q1_tot,wdi,6384,5895,92.34,Coverage of social safety net programs in poorest quintile (% of population)
per_sa_allsa.cov_q3_tot,wdi,6384,5895,92.34,Coverage of social safety net programs in 3rd quintile (% of population)
DT.NFL.IMFC.CD,wdi,6384,5877,92.06,"Net financial flows, IMF concessional (NFL, current US$)"
per_allsp.cov_pop_tot,wdi,6384,5874,92.01,Coverage of social protection and labor programs (% of population)
HD.HCI.OVRL.MA,wdi,6384,5859,91.78,"Human capital index (HCI), male (scale 0-1)"
HD.HCI.OVRL.LB.MA,wdi,6384,5859,91.78,"Human capital index (HCI), male, lower bound (scale 0-1)"
HD.HCI.OVRL.UB.MA,wdi,6384,5859,91.78,"Human capital index (HCI), male, upper bound (scale 0-1)"
HD.HCI.OVRL.UB.FE,wdi,6384,5858,91.76,"Human capital index (HCI), female, upper bound (scale 0-1)"
AG.LND.EL5M.RU.ZS,wdi,6384,5858,91.76,Rural land area where elevation is below 5 meters (% of total land area)
HD.HCI.OVRL.FE,wdi,6384,5858,91.76,"Human capital index (HCI), female (scale 0-1)"
AG.LND.EL5M.UR.ZS,wdi,6384,5858,91.76,Urban land area where elevation is below 5 meters (% of total land area)
HD.HCI.OVRL.LB.FE,wdi,6384,5858,91.76,"Human capital index (HCI), female, lower bound (scale 0-1)"
AG.LND.EL5M.UR.K2,wdi,6384,5858,91.76,Urban land area where elevation is below 5 meters (sq. km)
EN.POP.EL5M.ZS,wdi,6384,5858,91.76,Population living in areas where elevation is below 5 meters (% of total population)
AG.LND.EL5M.RU.K2,wdi,6384,5858,91.76,Rural land area where elevation is below 5 meters (sq. km)
EN.POP.EL5M.RU.ZS,wdi,6384,5858,91.76,Rural population living in areas where elevation is below 5 meters (% of total population)
EN.POP.EL5M.UR.ZS,wdi,6384,5858,91.76,Urban population living in areas where elevation is below 5 meters (% of total population)
AG.LND.EL5M.ZS,wdi,6384,5858,91.76,Land area where elevation is below 5 meters (% of total land area)
AG.LND.TOTL.RU.K2,wdi,6384,5858,91.76,Rural land area (sq. km)
AG.LND.TOTL.UR.K2,wdi,6384,5858,91.76,Urban land area (sq. km)
SH.STA.DIAB.ZS,wdi,6384,5853,91.68,Diabetes prevalence (% of population ages 20 to 79)
DC.ODA.TOTL.GN.ZS,wdi,6384,5843,91.53,"Net ODA provided, total (% of GNI)"
EN.ATM.SF6G.KT.CE,wdi,6384,5842,91.51,SF6 gas emissions (thousand metric tons of CO2 equivalent)
EN.ATM.PFCG.KT.CE,wdi,6384,5840,91.48,PFC gas emissions (thousand metric tons of CO2 equivalent)
EN.ATM.HFCG.KT.CE,wdi,6384,5830,91.32,HFC gas emissions (thousand metric tons of CO2 equivalent)
SP.UWT.TFRT,wdi,6384,5828,91.29,Unmet need for contraception (% of married women ages 15-49)
HD.HCI.OVRL.LB,wdi,6384,5783,90.59,"Human capital index (HCI), lower bound (scale 0-1)"
HD.HCI.OVRL,wdi,6384,5783,90.59,Human capital index (HCI) (scale 0-1)
HD.HCI.OVRL.UB,wdi,6384,5783,90.59,"Human capital index (HCI), upper bound (scale 0-1)"
NY.GSR.NFCY.KN,wdi,6384,5781,90.55,Net primary income (Net income from abroad) (constant LCU)
FX.OWN.TOTL.40.ZS,wdi,6384,5743,89.96,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
FX.OWN.TOTL.60.ZS,wdi,6384,5743,89.96,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
SH.SVR.WAST.MA.ZS,wdi,6384,5741,89.93,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
SH.SVR.WAST.FE.ZS,wdi,6384,5741,89.93,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
SH.STA.BFED.ZS,wdi,6384,5741,89.93,Exclusive breastfeeding (% of children under 6 months)
SH.STA.WAST.FE.ZS,wdi,6384,5736,89.85,"Prevalence of wasting, weight for height, female (% of children under 5)"
SH.STA.WAST.MA.ZS,wdi,6384,5736,89.85,"Prevalence of wasting, weight for height, male (% of children under 5)"
SH.STA.MALN.FE.ZS,wdi,6384,5735,89.83,"Prevalence of underweight, weight for age, female (% of children under 5)"
SH.STA.MALN.MA.ZS,wdi,6384,5735,89.83,"Prevalence of underweight, weight for age, male (% of children under 5)"
FX.OWN.TOTL.SO.ZS,wdi,6384,5732,89.79,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
FX.OWN.TOTL.PL.ZS,wdi,6384,5732,89.79,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
FX.OWN.TOTL.OL.ZS,wdi,6384,5731,89.77,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
FX.OWN.TOTL.YG.ZS,wdi,6384,5731,89.77,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
FX.OWN.TOTL.ZS,wdi,6384,5731,89.77,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
FX.OWN.TOTL.FE.ZS,wdi,6384,5731,89.77,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
FX.OWN.TOTL.MA.ZS,wdi,6384,5731,89.77,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
SP.REG.BRTH.ZS,wdi,6384,5730,89.76,Completeness of birth registration (%)
VC.IDP.NWCV,wdi,6384,5708,89.41,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"
SH.STA.OWGH.FE.ZS,wdi,6384,5696,89.22,"Prevalence of overweight, weight for height, female (% of children under 5)"
SH.STA.OWGH.MA.ZS,wdi,6384,5696,89.22,"Prevalence of overweight, weight for height, male (% of children under 5)"
DC.ODA.TLDC.GN.ZS,wdi,6384,5695,89.21,Net ODA provided to the least developed countries (% of GNI)
DC.ODA.TLDC.CD,wdi,6384,5690,89.13,"Net ODA provided, to the least developed countries (current US$)"
IE.PPN.TRAN.CD,wdi,6384,5682,89.0,Public private partnerships investment in transport (current US$)
SH.STA.STNT.FE.ZS,wdi,6384,5682,89.0,"Prevalence of stunting, height for age, female (% of children under 5)"
SH.STA.STNT.MA.ZS,wdi,6384,5682,89.0,"Prevalence of stunting, height for age, male (% of children under 5)"
DT.NFL.UNRW.CD,wdi,6384,5681,88.99,"Net official flows from UN agencies, UNRWA (current US$)"
DC.ODA.TOTL.KD,wdi,6384,5680,88.97,"Net ODA provided, total (constant 2021 US$)"
DC.ODA.TOTL.CD,wdi,6384,5680,88.97,"Net ODA provided, total (current US$)"
IE.PPI.TRAN.CD,wdi,6384,5671,88.83,Investment in transport with private participation (current US$)
SH.STA.OWGH.ZS,wdi,6384,5652,88.53,"Prevalence of overweight, weight for height (% of children under 5)"
SH.SVR.WAST.ZS,wdi,6384,5650,88.5,"Prevalence of severe wasting, weight for height (% of children under 5)"
SH.STA.STNT.ZS,wdi,6384,5627,88.14,"Prevalence of stunting, height for age (% of children under 5)"
SI.RMT.COST.IB.ZS,wdi,6384,5604,87.78,Average transaction cost of sending remittances to a specific country (%)
SP.DYN.CONM.ZS,wdi,6384,5600,87.72,"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
SH.STA.WAST.ZS,wdi,6384,5588,87.53,"Prevalence of wasting, weight for height (% of children under 5)"
DT.NFL.PNGB.CD,wdi,6384,5566,87.19,"PNG, bonds (NFL, current US$)"
NV.FSM.TOTL.KN,wdi,6384,5563,87.14,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
SP.DYN.CONU.ZS,wdi,6384,5556,87.03,"Contraceptive prevalence, any method (% of married women ages 15-49)"
SH.STA.ANVC.ZS,wdi,6384,5551,86.95,Pregnant women receiving prenatal care (%)
SH.UHC.TOT1.ZS,wdi,6384,5550,86.94,Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
SH.UHC.FBP1.ZS,wdi,6384,5550,86.94,Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
SH.UHC.NOP1.ZS,wdi,6384,5547,86.89,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
SH.UHC.TOT2.ZS,wdi,6384,5547,86.89,Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
SH.UHC.FBP2.ZS,wdi,6384,5547,86.89,Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
SH.UHC.NOP2.ZS,wdi,6384,5544,86.84,Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
GC.TAX.EXPT.ZS,wdi,6384,5535,86.7,Taxes on exports (% of tax revenue)
GC.TAX.EXPT.CN,wdi,6384,5535,86.7,Taxes on exports (current LCU)
AG.LND.TRAC.ZS,wdi,6384,5520,86.47,"Agricultural machinery, tractors per 100 sq. km of arable land"
FS.AST.DOMO.GD.ZS,wdi,6384,5515,86.39,Claims on other sectors of the domestic economy (% of GDP)
SH.UHC.TOTR.ZS,wdi,6384,5499,86.14,Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
SH.UHC.FBPR.ZS,wdi,6384,5499,86.14,Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)
SH.UHC.NOPR.ZS,wdi,6384,5496,86.09,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
